UUID,Num,Chapitre,Theme,SSTheme,Exigence FR
78e80a4a-83e9-4151-b9b6-5d7461e5622c,1.3.3,1-Gouvernance et engagement,Revue de direction,,"La direction générale identifie et examine (par exemple au moyen d'audits internes ou d'inspections sur place) l'infrastructure et l'environnement de travail nécessaires pour garantir la sécurité alimentaire, la qualité des produits, la légalité et l'authenticité, au moins une fois au cours d'une période de 12 mois, ou à chaque fois que des changements significatifs interviennent. Ces infrastructures et cet environnement de travail comprennent au minimum 
- les bâtiments 
- les systèmes d'approvisionnement 
- les machines et les équipements 
- les transports 
- les installations pour le personnel 
- conditions environnementales 
- conditions d'hygiène 
- l'aménagement du lieu de travail 
- les influences extérieures (par exemple, le bruit, 
vibrations). 
En fonction des risques, les résultats de l'examen doivent être pris en considération pour la planification des investissements."
a1f4cd4a-459c-4fcf-863a-e8c69c3d2151,2.1.1.1,2-Système de management de la sécurité des aliments et de la qualité,Management de la qualité,Gestion de la documentation,"Une procédure doit être documentée, mise en œuvre et tenue à jour pour contrôler les documents et leurs modifications. Tous les documents nécessaires au respect de la sécurité alimentaire, de la qualité des produits, de la légalité, de l'authenticité et des exigences des clients doivent être disponibles dans leur dernière version. La raison de toute modification des 
La raison de toute modification des documents, essentielle pour ces exigences, doit être enregistrée."
56840ddd-eae6-4572-969b-b86f4fd9f92d,2.1.1.2,2-Système de management de la sécurité des aliments et de la qualité,Management de la qualité,Gestion de la documentation,"Le système de gestion de la sécurité et de la qualité des denrées alimentaires doit être documenté, mis en œuvre et tenu à jour et doit être conservé dans un endroit sûr. Cela s'applique aux systèmes documentés physiques et/ou numériques."
7264be8c-9453-44f3-ab6a-319360ee9b10,2.1.1.3*,2-Système de management de la sécurité des aliments et de la qualité,Management de la qualité,Gestion de la documentation,"Tous les documents doivent être lisibles, non ambigus et complets. Ils doivent être à la disposition du personnel concerné à tout moment."
7084dd9a-ed3a-479e-8ccb-1881d62698d6,2.1.2.1,2-Système de management de la sécurité des aliments et de la qualité,Management de la qualité,Enregistrements et informations documentées,"Les enregistrements et les informations documentées doivent être lisibles, correctement remplis et authentiques. Ils doivent être conservés de manière à interdire toute révision ou modification ultérieure. Si les enregistrements sont documentés par voie électronique, un système doit être mis en place pour garantir que seul le personnel autorisé a accès à la création ou à la modification de ces enregistrements (par exemple, protection par mot de passe)."
6544579d-da50-4599-96b8-8326a2f3204f,2.1.2.2 *,2-Système de management de la sécurité des aliments et de la qualité,Management de la qualité,Enregistrements et informations documentées,"Tous les enregistrements et toutes les informations documentées doivent être conservés conformément aux exigences légales et aux exigences des clients. Si aucune exigence de ce type n'est définie, les enregistrements et les informations documentées doivent être conservés pendant au moins un an après la durée de conservation. Pour les produits qui n'ont pas de durée de conservation, la durée de conservation des enregistrements et des informations documentées doit être justifiée et cette justification doit être documentée."
95653f64-cda9-4ee4-b6e6-a07f0242ec6b,2.1.2.3,2-Système de management de la sécurité des aliments et de la qualité,Management de la qualité,Enregistrements et informations documentées,Les dossiers et les informations documentées sont conservés en toute sécurité et facilement accessibles.
5e687929-a0e3-45f6-a6a9-90e9b9d047e5,2.2.1.1 *,2-Système de management de la sécurité des aliments et de la qualité,Management de la sécurité des aliments,HACCP plan,"Le système de gestion de la sécurité alimentaire de l'entreprise doit reposer sur un plan HACCP entièrement mis en œuvre, systématique et complet, conforme aux principes du Codex Alimentarius, aux bonnes pratiques de fabrication, aux bonnes pratiques d'hygiène et à toutes les exigences légales des pays de production et de destination susceptibles d'aller au-delà de ces principes. Le plan HACCP doit être spécifique et mis en œuvre sur le site de production."
5e83c2d7-bf01-48bb-aaa5-02caacbbaf75,2.2.1.2 *,2-Système de management de la sécurité des aliments et de la qualité,Management de la sécurité des aliments,HACCP plan,"The HACCP plan shall cover all raw materials, packaging materials, products or product groups, as well as every process from incoming goods up to the dispatch of finished products, including product development."
b86ed641-0dd6-488d-a156-7844122927aa,2.2.1.3,2-Système de management de la sécurité des aliments et de la qualité,Management de la sécurité des aliments,HACCP plan,"Le plan HACCP est fondé sur la littérature scientifique ou sur les avis d'experts obtenus auprès d'autres sources, notamment les associations commerciales et industrielles, les experts indépendants et les autorités. Ces informations sont mises à jour en fonction de l'évolution des procédés techniques."
1b17df5e-acb4-4294-895e-8bce29d5d559,2.2.1.4,2-Système de management de la sécurité des aliments et de la qualité,Management de la sécurité des aliments,HACCP plan,"En cas de modification des matières premières 
matières premières, des matériaux d'emballage, 
des méthodes de transformation, de l'infrastructure et/ou de l'équipement, le plan HACCP doit être revu afin de garantir le respect des exigences en matière de sécurité des produits."
428d6954-18d8-4116-a32d-b98fada29e87,2.3.1.1,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Equipe HACCP,"Constituer l'équipe HACCP : 
L'équipe HACCP doit disposer des connaissances et de l'expertise spécifiques appropriées et être une équipe pluridisciplinaire comprenant du personnel opérationnel."
63229f76-283d-4f27-b1de-46cb29f96c48,2.3.1.2,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Equipe HACCP,Les personnes chargées de l'élaboration et de la mise à jour du plan HACCP disposent d'un chef d'équipe interne et ont reçu une formation appropriée à l'application des principes HACCP et à la connaissance spécifique des produits et des procédés.
04477440-9c07-4399-876e-58b99f96af6b,2.3.2.1,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Décrire les produits,"Une description complète du produit doit être documentée et tenue à jour et doit contenir toutes les informations pertinentes sur la sécurité du produit, à savoir, au minimum, les éléments suivants 
- la composition 
- les caractéristiques physiques, organoleptiques, chimiques et microbiologiques 
- les exigences légales en matière de sécurité alimentaire du produit 
- les méthodes de traitement, d'emballage et de durabilité (durée de conservation) 
- les conditions de stockage, les méthodes de transport et de distribution."
b2b6fd37-1554-4bbb-adad-e43a1f2b8135,2.3.3.1,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Identifier l'utilisation prévue et les utilisateurs du produit,"L'utilisation prévue du produit est décrite en fonction de l'utilisation attendue du produit par le consommateur final, en tenant compte des groupes de consommateurs vulnérables. 
en tenant compte des groupes de consommateurs vulnérables."
bddae36f-6b48-428c-98c9-09122dd18838,2.3.4.1,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Construire un diagramme de flux,Un diagramme de flux doit être documenté et tenu à jour pour chaque produit ou groupe de produits et pour toutes les variantes des processus et sous-processus (y compris les reprises et le retraitement). L'organigramme doit identifier chaque étape et chaque mesure de maîtrise définie pour les CCP et les autres mesures de maîtrise. Il doit être daté et mis à jour en cas de modification.
e2ef4917-9ec6-4be2-a7d2-eefd3ee73d3f,2.3.5.1,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Confirmation sur place du diagramme de flux,"Representatives of the HACCP team shall verify the flow diagram, through on-site verifications, at all operation stages and shifts. Where appropriate, amendments to the diagram shall be made."
1a28da66-51af-4ff5-9856-1333a6a03a0a,2.3.6.1,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Effectuer une analyse des risques pour chaque étape,"Une analyse des risques doit être effectuée pour tous les risques physiques, chimiques (y compris radiologiques et allergènes) et biologiques possibles et attendus. L'analyse porte également sur les dangers liés aux matériaux en contact avec les denrées alimentaires, aux matériaux d'emballage ainsi qu'aux dangers liés à l'environnement de travail. L'analyse des dangers tient compte de l'occurrence probable des dangers et de la gravité de leurs effets néfastes sur la santé. 
Les mesures de contrôle spécifiques à appliquer pour maîtriser chaque danger significatif doivent être prises en considération."
f66e568b-fe0a-45f4-94b3-170e1967850b,2.3.7.1,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Déterminer les points de contrôle critiques et les autres mesures de contrôle,"Pour déterminer si l'étape à laquelle une mesure de maîtrise est appliquée est un CCP dans le système HACCP, il convient d'utiliser un arbre de décision ou un autre outil démontrant une approche logique et raisonnée."
17c78125-2e50-4aa0-b99e-ed1ad5451641,2.3.8.1 *,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Établir des limites critiques validées pour chaque CCP,"Pour chaque CCP, des limites critiques doivent être définies et validées afin de déterminer si un processus est hors de contrôle."
4b1e1c3d-8221-46cd-ad48-e99ed848093c,"2.3.9.1 
KO *",2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Mettre en place un système de surveillance pour chaque CCP,"KO N° 2 : Des procédures de surveillance spécifiques, en termes de méthode, de fréquence de mesure ou d'observation et d'enregistrement des résultats, doivent être documentées, mises en œuvre et tenues à jour pour chaque CCP afin de détecter toute perte de maîtrise de ce CCP. Chaque CCP défini doit être maîtrisé. La surveillance et la maîtrise de chaque CCP sont démontrées par des enregistrements."
f415099d-af69-4d2e-8b38-4b8c62af63c7,2.3.9.2,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Mettre en place un système de surveillance pour chaque CCP,Les registres de surveillance des CCP sont vérifiés par une personne responsable au sein de l'entreprise et conservés pendant une période appropriée.
304775f7-ce6a-4e03-9be4-7d5127b63d07,2.3.9.3,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Mettre en place un système de surveillance pour chaque CCP,Le personnel opérationnel chargé de la surveillance des mesures de contrôle définies pour les CCP et d'autres mesures de contrôle doit avoir reçu une formation/instruction spécifique.
5dcb980a-d5d8-4a96-a4f8-ac56aeec7d84,2.3.9.4,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Mettre en place un système de surveillance pour chaque CCP,"Les mesures de contrôle, autres que celles définies pour les CCP, doivent être surveillées, enregistrées et contrôlées au moyen de critères mesurables ou observables."
1741ef36-46fc-46a7-9de9-0304b0b7eaeb,2.3.10.1,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Mettre en place des actions correctives,"Si la surveillance indique qu'une mesure de maîtrise particulière définie pour un CCP ou toute autre mesure de maîtrise n'est pas maîtrisée, des actions correctives sont documentées et mises en œuvre. Ces actions correctives tiennent également compte de toute action relative à des produits non conformes et identifient la cause première de la perte de maîtrise des CCP."
da7bdeb1-e127-40d1-bd53-f7c03e94dec2,2.3.11.1 NEW,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Valider le plan HACCP et établir des procédures de vérification,"Les procédures de validation, y compris la revalidation après toute modification susceptible d'avoir une incidence sur la sécurité alimentaire, sont documentées, mises en œuvre et tenues à jour afin de garantir que le plan HACCP permet de maîtriser efficacement les dangers identifiés."
783d1970-08a9-4936-9a06-44a28f401fbf,2.3.11.2 *,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Valider le plan HACCP et établir des procédures de vérification,"Les procédures de vérification doivent être documentées, mises en œuvre et tenues à jour afin de confirmer que le plan HACCP fonctionne correctement. Les activités de vérification du plan HACCP sont par exemple les suivantes - audits internes 
- essais 
- échantillonnage 
- écarts et non-conformités - plaintes. 
sont effectuées au moins une fois au cours d'une période de 12 mois ou à chaque fois que des changements importants se produisent. 
Les résultats de cette vérification sont enregistrés et intégrés dans le plan HACCP."
9fe76064-8cd4-4c93-99a0-50b6265a181e,2.3.12.1,2-Système de management de la sécurité des aliments et de la qualité,Analyse HACCP,Établir la documentation et la tenue de registres,"Documents et enregistrements relatifs au plan HACCP, par exemple : 
- analyse des dangers 
- détermination des mesures de maîtrise définies pour les CCP et autres mesures de maîtrise 
- détermination des limites critiques 
- les processus, 
- procédures 
- résultats des mesures de maîtrise 
définies pour les CCP et les autres activités de surveillance des mesures de contrôle 
- les dossiers de formation du personnel chargé de la surveillance des CCP 
- les écarts et les non-conformités observés, ainsi que les actions correctives mises en œuvre. 
sont disponibles."
3a2dccf1-c5bf-46d7-8c71-420a253e02c5,3.1.1,3- Gestion des ressources,Ressources humaines,,"Tout le personnel effectuant des travaux ayant une incidence sur la sécurité, la qualité, la légalité et l'authenticité des produits doit posséder les compétences requises, en fonction de son rôle, grâce à l'éducation, à l'expérience professionnelle et/ou à la formation."
9e1dad93-3d1b-4d6a-8cd5-7845a5b77414,3.1.2,3- Gestion des ressources,Ressources humaines,,"Les responsabilités, les compétences et les descriptions d'emploi pour tous les postes ayant un impact sur la sécurité alimentaire et la qualité des produits doivent être documentées, mises en œuvre et tenues à jour. L'attribution des rôles clés doit être définie."
06e799e4-e60c-442d-97dd-c8b4060c036a,3.2.1*,3- Gestion des ressources,Hygiène personnelle,,"Les exigences fondées sur les risques en matière d'hygiène personnelle sont documentées, mises en œuvre et tenues à jour et portent au minimum sur les domaines suivants 
- les cheveux et la barbe 
- vêtements de protection (y compris leurs conditions d'utilisation dans les locaux du personnel) - lavage des mains, désinfection et hygiène 
- manger, boire, fumer, vaper ou utiliser d'autres produits du tabac 
- mesures à prendre en cas de coupures ou d'abrasions cutanées 
- ongles, bijoux, faux ongles/cils et effets personnels (y compris les médicaments) 
- notification des maladies infectieuses et des conditions ayant un impact sur la sécurité alimentaire par le biais d'une procédure de  la sécurité alimentaire par le biais d'une procédure de dépistage médical. "
de005a46-5c55-416f-b95a-26dafaf3084b,"3.2.2 
KO *",3- Gestion des ressources,Hygiène personnelle,,"KO N° 3: Les exigences en matière d'hygiène personnelle doivent être comprises et appliquées par l'ensemble du personnel concerné, des contractants et des visiteurs."
1e60c675-864e-41e6-91c2-c33e74da5894,3.2.3,3- Gestion des ressources,Hygiène personnelle,,"Le respect des exigences en matière d'hygiène personnelle est contrôlé à une fréquence fondée sur le risque, mais au moins une fois au cours d'une période de trois mois."
4275ccf1-6196-4fac-bcea-353705223412,3.2.4,3- Gestion des ressources,Hygiène personnelle,,Un programme fondé sur les risques doit être mis en œuvre et maintenu pour contrôler l'efficacité de l'hygiène des mains.
d2b682eb-97da-4b32-8e64-c0cf0e5fb3a0,3.2.5,3- Gestion des ressources,Hygiène personnelle,,Le port de bijoux visibles (y compris les piercings) et de montres est interdit. Toute exception doit avoir été évaluée de manière compréhensive en fonction des risques et doit être gérée efficacement.
713d1921-63a1-4b0d-899a-fcb0b9ec6cfc,3.2.6,3- Gestion des ressources,Hygiène personnelle,,"Les coupures et les abrasions cutanées doivent être recouvertes d'un plâtre ou d'un bandage qui ne doit pas présenter de risques de contamination. Le plâtre/bandeau doit être imperméable et d'une couleur différente de celle du produit. 
Le cas échéant : 
- les sparadraps/bandages doivent contenir une bande métallique 
- des gants à usage unique doivent être portés."
9a3b80a6-3471-47e0-8227-ff9abd89693c,3.2.7,3- Gestion des ressources,Hygiène personnelle,,"Dans les zones de travail où le port d'un couvre-chef et/ou d'un foulard est requis, les cheveux doivent être entièrement couverts pour éviter la contamination par le produit. 
contamination du produit."
1f885696-a52a-47d8-b119-75e7f8c32b6c,3.2.8,3- Gestion des ressources,Hygiène personnelle,,Des règles d'utilisation doivent être mises en œuvre pour les zones de travail/activités où le port de gants (d'une couleur différente de celle du produit) e
f37ee58d-671f-442f-88a2-4d09cd60be9c,3.2.9*,3- Gestion des ressources,Hygiène personnelle,,Des vêtements de protection adéquats sont fournis en quantité suffisante pour chaque employé.
eb1c9258-ad04-4cc5-9694-2c0bb65d0d66,3.2.10,3- Gestion des ressources,Hygiène personnelle,,"Tous les vêtements de protection doivent être soigneusement et régulièrement lavés en interne, par des sous-traitants agréés ou par les employés. Cette décision doit être documentée et fondée sur les risques. Les exigences relatives à la blanchisserie doivent garantir, au minimum, les éléments suivants 
- une séparation suffisante entre les vêtements sales et les vêtements propres à tout moment 
- des conditions de lavage définies concernant la température de l'eau et le dosage du détergent 
- éviter toute contamination jusqu'à l'utilisation. 
L'efficacité du lavage doit être contrôlée de manière appropriée."
c7c9edf9-a840-4da9-8c7d-87aa6d14cc43,3.2.11,3- Gestion des ressources,Hygiène personnelle,,"En cas de problème sanitaire ou de maladie infectieuse susceptible d'avoir un impact sur la sécurité alimentaire, des mesures sont prises pour minimiser les risques de contamination."
44fc33d3-44b2-43a2-842e-771b1546bb37,3.3.1*,3- Gestion des ressources,Formation et instruction,,"Des programmes documentés de formation et/ou d'instruction doivent être mis en œuvre en tenant compte des exigences du produit et du processus et des besoins de formation des employés, en fonction de leur travail, et doivent inclure : 
- le contenu de la formation 
- la fréquence de la formation 
- la tâche de l'employé 
- les langues 
- le formateur/tuteur qualifié 
- évaluation de l'efficacité de la formation."
d834fd2d-708e-4398-ba22-34ee0cae4326,3.3.2,3- Gestion des ressources,Formation et instruction,,"Les programmes de formation et/ou d'instruction documentés s'appliquent à l'ensemble du personnel, y compris les travailleurs saisonniers et temporaires et les employés d'entreprises extérieures, employés dans la zone de travail concernée. Dès leur embauche et avant de commencer à travailler, ils doivent recevoir une formation/instruction conformément aux programmes de formation/instruction documentés."
d740a6e8-7926-4b9e-a799-d784e48995bb,3.3.3,3- Gestion des ressources,Formation et instruction,,"Des comptes rendus de tous les événements de formation/instruction doivent être disponibles, avec les informations suivantes - la liste des participants (y compris leur signature) 
- la date 
- la durée 
- le contenu de la formation 
- le nom du formateur ou du tuteur. 
Une procédure ou un programme doit être documenté, mis en œuvre et tenu à jour pour prouver l'efficacité des programmes de formation et/ou d'instruction."
65333ae6-6858-437d-8501-e35b7d1afad5,3.3.4,3- Gestion des ressources,Formation et instruction,,"Le contenu de la formation et/ou des instructions doit être revu et mis à jour si nécessaire. Une attention particulière doit être accordée à ces questions spécifiques au minimum : 
- la sécurité alimentaire 
- l'authenticité des produits, y compris la fraude alimentaire 
- la qualité des produits 
- la défense des denrées alimentaires 
- exigences légales relatives aux denrées alimentaires - modifications des produits/processus 
- le retour d'information sur les programmes de formation/instruction documentés 
de formation documentés."
32472b90-efcb-4e1f-ac3f-505b8bb5ac12,3.4.1*,3- Gestion des ressources,Locaux du personnel,,"Des locaux adéquats sont mis à la disposition du personnel ; ils sont de taille proportionnelle, équipés en fonction du nombre d'employés et conçus et contrôlés de manière à réduire au minimum les risques en matière de sécurité alimentaire. Ces installations sont entretenues de manière à éviter toute contamination."
abc47cbb-9847-4297-be3e-f4e1461305e6,3.4.2,3- Gestion des ressources,Locaux du personnel,,"Les risques de contamination des produits par des aliments et des boissons et/ou des matières étrangères doivent être réduits au minimum. Les aliments et boissons provenant des distributeurs automatiques, de la cantine et/ou apportés sur le lieu de travail par le personnel doivent être pris en considération"
0f4ad416-e295-4d34-8cb0-67adf94d78c0,3.4.3,3- Gestion des ressources,Locaux du personnel,,"Les vestiaires doivent être situés de manière à permettre un accès direct aux zones où les denrées alimentaires non emballées sont manipulées. Lorsque l'infrastructure ne le permet pas, des mesures alternatives doivent être mises en œuvre et maintenues pour minimiser les risques de contamination des produits. Les vêtements de plein air et les vêtements de protection sont stockés séparément, à moins que d'autres mesures ne soient mises en œuvre et maintenues pour prévenir les risques de contamination."
5964bc6e-e2d5-47fb-bb60-b690671ce840,3.4.4,3- Gestion des ressources,Locaux du personnel,,Les toilettes ne doivent pas avoir d'accès direct ni présenter de risques de contamination pour les zones où les produits sont manipulés. Les toilettes doivent être équipées d'installations adéquates pour le lavage des mains. Les installations doivent disposer d'une ventilation naturelle ou mécanique adéquate. Les flux d'air mécaniques d'une zone contaminée vers une zone propre doivent être évités.
171e9f65-7029-41e8-a16f-3f5e22c08bc6,3.4.5*,3- Gestion des ressources,Locaux du personnel,,"Des installations d'hygiène des mains doivent être prévues et comprendre au minimum - un nombre suffisant de lavabos - convenablement situés aux points d'accès aux zones de production et/ou à l'intérieur de celles-ci 
- destinés uniquement au nettoyage des mains. La nécessité de disposer d'équipements similaires dans d'autres zones (par exemple, la zone d'emballage) doit être déterminée en fonction des risques."
28ad004d-7fea-4b97-84a2-d0050e4901a7,3.4.6,3- Gestion des ressources,Locaux du personnel,,"Les installations d'hygiène des mains doivent fournir - de l'eau potable courante à une 
température adéquate 
- un équipement de nettoyage et de désinfection adéquat 
- des moyens adéquats pour le séchage des mains."
3d1dbd02-64d7-4bc8-b9fb-d1ede60db59e,3.4.7,3- Gestion des ressources,Locaux du personnel,,"Lorsque les processus exigent un contrôle plus poussé de l'hygiène, l'équipement de lavage des mains doit en outre être doté des éléments suivants 
- des raccords sans contact avec les mains 
- une désinfection des mains 
- un conteneur à déchets avec une ouverture sans contact avec les mains."
17f35b6c-3d19-44ac-88d4-4eb616173935,3.4.8,3- Gestion des ressources,Locaux du personnel,,"Si nécessaire, des installations de nettoyage et de désinfection sont disponibles et utilisées pour les bottes, les chaussures et les autres vêtements de protection."
600826fb-66aa-4093-b7a3-01d178efb062,4.1.1,4-Procédés opérationnels,Orientation client et l'accord contractuel , ,Une procédure doit être mise en œuvre et maintenue pour identifier les besoins fondamentaux et les attentes des clients. Le retour d'information issu de ce processus est utilisé pour l'amélioration continue de l'entreprise.
274a4938-d4c2-466b-a269-18e4ce8be725,4.1.2,4-Procédés opérationnels,Orientation client et l'accord contractuel , ,"Toutes les exigences relatives à la sécurité alimentaire et à la qualité des produits, dans le cadre du 
et toute révision de ces clauses, doivent être communiquées et mises en œuvre par chaque service concerné."
fa12c451-5683-4def-b29d-c9cd302249ea,"4.1.3 
KO*",4-Procédés opérationnels,Orientation client et l'accord contractuel , ,"KO N° 4 : Lorsqu'il existe des accords avec des clients concernant : 
- la recette du produit (y compris les 
caractéristiques des matières premières) 
- le processus 
- les exigences technologiques 
- le plan d'essai et de surveillance 
- l'emballage 
- l'étiquetage 
Ces exigences doivent être respectées."
ed3ee1c8-3721-4eba-9725-4d7c6f5d2b2f,4.1.4,4-Procédés opérationnels,Orientation client et l'accord contractuel , ,"Conformément aux exigences des clients, les cadres supérieurs informent leurs clients concernés, dans les meilleurs délais, de tout problème lié à la sécurité ou à la légalité des produits, y compris les écarts et les non-conformités identifiés par les autorités compétentes."
324321ae-ecc9-4206-ba36-3fcfe2d18071,4.2.1.1 *,4-Procédés opérationnels,Spécifications et formules,Spécifications,"Les spécifications doivent être documentées et mises en œuvre pour tous les produits finis. Elles doivent être à jour, sans ambiguïté et conformes aux exigences légales et à celles des clients."
174b2b6f-6951-4615-abfd-17b7dff70508,4.2.1.2,4-Procédés opérationnels,Spécifications et formules,Spécifications,"Une procédure de contrôle de la création, de l'approbation et de la modification des spécifications doit être documentée, mise en œuvre et tenue à jour et doit inclure, le cas échéant, l'acceptation du ou des clients. Lorsque les clients l'exigent, les spécifications des produits font l'objet d'un accord formel. 
Cette procédure comprend la mise à jour des spécifications des produits finis en cas de modification liée aux éléments suivants - les matières premières 
- les formules/recettes 
- les processus ayant une incidence sur les produits finis 
- les matériaux d'emballage ayant une incidence sur les produits finis."
e5690382-3876-4475-9029-6c70c8529aa4,"4.2.1.3 
KO *",4-Procédés opérationnels,Spécifications et formules,Spécifications,"KO N° 5 : Les spécifications doivent être documentées et mises en œuvre pour toutes les matières premières (ingrédients, additifs, matériaux d'emballage, retouches). 
Les spécifications doivent être à jour, sans ambiguïté et conformes aux exigences légales et, si elles sont définies, aux exigences des clients."
603b2e28-cb19-45f9-9e49-1bb8ff029146,4.2.1.4,4-Procédés opérationnels,Spécifications et formules,Spécifications,Les spécifications et/ou leur contenu doivent être disponibles sur place pour tout le personnel concerné.
